"1",500,6,837.485448134868
"1",500,8,797.051640966886
"1",500,10,781.70438067551
"1",500,12,776.159654939903
"1",500,14,772.409194332186
"1",500,16,774.972985847486
"1",750,6,833.297211459846
"1",750,8,795.35962650592
"1",750,10,780.363366581225
"1",750,12,773.452119184082
"1",750,14,771.075178635916
"1",750,16,773.624087574231
"1",1000,6,833.46482761102
"1",1000,8,794.803220716428
"1",1000,10,780.252998248677
"1",1000,12,772.767780950599
"1",1000,14,771.121114339853
"1",1000,16,772.975743969929
"1",2000,6,830.730699864102
"1",2000,8,794.87514567255
"1",2000,10,778.712280021115
"1",2000,12,771.621410075236
"1",2000,14,770.086004532137
"1",2000,16,772.299322066974
"1",3000,6,831.010947352796
"1",3000,8,794.359043019329
"1",3000,10,778.259810824267
"1",3000,12,770.989067954226
"1",3000,14,769.948433477947
"1",3000,16,771.38941536898
"1",5000,6,830.679761343212
"1",5000,8,794.365600723255
"1",5000,10,778.356604083576
"1",5000,12,771.409882607977
"1",5000,14,769.710616961999
"1",5000,16,770.97490306498
"1",10000,6,830.328898151334
"1",10000,8,793.892055826528
"1",10000,10,778.457524664154
"1",10000,12,771.533520376735
"1",10000,14,769.869323527607
"1",10000,16,770.867642516492
